TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)

,base-devel,is a group package with sudo and compilation software
,git,is a version control system
,i3-gaps,is the main graphical user interface and window manager
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xinit,starts the graphical server
G,https://github.com/lukesmithxyz/st.git,is my custom build of suckless's terminal emulator
G,https://github.com/lukesmithxyz/dmenu.git,runs commands and provides a UI for selection
,ttf-inconsolata,is the monospace font of LARBS
,ttf-linux-libertine,provides the sans and serif fonts for LARBS
,ranger,is an extensive terminal file manager that everyone likes
,arandr,is a UI for screen adjustment
,calcurse,is a lightweight terminal-based calendar
,compton,for transparency and removing screen-tearing
,cronie,manages scheduled tasks
,dosfstools,allows your computer to access dos-like filesystems
,dunst,is a suckless notification system
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,firefox,is the only program on LARBS your girlfriend has ever heard of
,gnome-keyring,serves as the system keyring
,gnome-themes-extra,gives the dark GTK theme used in LARBS
,gvim,provides a build of vim with the ability to copy and paste between other programs
,i3blocks,is the status bar
,i3lock,is the screen lock
,mpd,is a lightweight music daemon
,mpc,is a terminal interface for mpd
,mpv,is the patrician's choice video/gif player
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor
,networkmanager,does exactly what it sounds like
,network-manager-applet,appears in the top right corner and manages the wi-fi connection
,newsboat,is a terminal RSS client
A,ttf-emojione,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
,ntfs-3g,allows accessing NTFS partitions
,pulseaudio,is the audio system (>inb4 bloat)
,pulseaudio-alsa,is an audio interface with ALSA
,pamixer,is a terminal audio control interface
,pulsemixer,is an intuitive ncurses audio controller
,python-pywal,generates color schemes based on your wallpaper
A,sc-im,is an Excel-like terminal spreadsheet manager
A,htop-vim-git,provides system usage information and displays processes
,scrot,can take quick screenshots at your request
,tmux,is a terminal multiplexer and the dropdown window in LARBS
A,unclutter-xfixes-git,hides an inactive mouse
,unrar,extracts rar's
,unzip,unzips zips
A,urlview,parses URLs in the terminal allowing keyboard-based selection
A,vim-pathogen,manages vim plugins
,w3m,is a terminal browser which can also view images
,wget,downloads sites and files on the command line
,xcape,gives the special escape/super mappings of LARBS
,xdotool,provides window action utilities on the command line.
,xssstate,times out the screen if locked
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,youtube-viewer,is a terminal interface for watching YouTube videos without a browser
,zathura,is a pdf viewer with vim-like bindings
,zathura-djvu,gives zathura the ability to read .djvu files
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura
,poppler,manipulates .pdfs and gives .pdf previews in ranger
,mediainfo,shows audio and video information and is used by ranger as well
,atool,manages and gives information about archives
,fzf,is a fuzzy finder tool
,highlight,can highlight code output
G,https://github.com/alexanderjeurissen/ranger_devicons.git,gives folder and file icons in ranger
A,task-spooler,queues commands or files for download
A,dtrx,archive extraction tool for brainlets
A,farbfeld,suckless img format
A,funny-manpages,set of funny manpages
A,i3lock-color,screenlocker
A,ida-free,free disassembler
A,megacmd-bin,mega cloud tool
A,otf-font-awesome-4,font awesome
,ttf-freefont,font
,ttf-baekmuk,font
,ttf-arphic-uming,font
A,rxvt-unicode-pixbuf,terminal emulator
A,screenkey,tool to show pressed keys
A,tor-browser,web browser for paranoids
A,ttf-iosevka,monospace font
,ipython,interactive python shell
,weechat,irc client
,rsync,file transfer program to keep remote files in sync
,lolcat,funny tool
,ttf-dejavu,font
,stow,tool to manage dotfiles symlinks
,fd,better find
,ufw,firewall
,jdk10-openjdk,java development kit
,syncthing,decentralised sync
,gimp,image editor
,keepassxc,password manager
,imagemagick,basic image editor
,fasd,cli productivity booster
,hub,cli interface for github
,gnupg,implementation of openpgp
,hugo,static site generator
,bat,better cat
,tldr,man for lazy people
,openssl,ssl and tls toolkit
,calibre,ebook manager
,gdb,gnu debugger
,dosbox,dos emulator
,transmission-gtk,torrent client
,acpi,battery monitor
,libreoffice-still,office suite
,vagrant,virtual software development environment manager
,binwalk,CTF tool to find headers in file
,wireshark-gtk,network protocol analyzer
A,burpsuite,webapp security tester
,metasploit,pentesting framework
,gcc-multilib,
,lib32-glibc,gnu c library
,pip, python packages installer
,asciinema,terminal recorder
,pandoc,document converter
A,noteshrink,image to PDF note converter
,texlive-most,tex package
,nasm,assembly
,valgrind,tool to help find memory-management problems in programs
